team_a,team_b,result,match_date
ADRC Estradinha,AD Vila Garcia,2-1,2017/10/21
Padronelo,Fridão,2-0,2017/10/21
ARCA (Amarante),UCD Moure,2-1,2017/10/21
Malteses,Mancelos FC,1-1,2017/10/21
Freixo de Baixo,GD Cepelos,0-2,2017/10/21
ACR Gatão,Gondar,3-2,2017/10/21
Fridão,ADRC Estradinha,2-4,2017/10/28
AD Lufrei,Padronelo,0-2,2017/10/28
GD Cepelos,ACR Gatão,0-0,2017/10/28
AD Vila Garcia,ARCA (Amarante),0-9,2017/10/28
UCD Moure,Malteses,1-0,2017/10/28
Mancelos FC,Freixo de Baixo,0-0,2017/10/28
ARCA (Amarante),Fridão,0-0,2017/11/04
ADRC Estradinha,AD Lufrei,2-0,2017/11/04
Malteses,AD Vila Garcia,0-0,2017/11/04
Freixo de Baixo,UCD Moure,0-1,2017/11/04
ACR Gatão,Mancelos FC,3-0,2017/11/04
Gondar,GD Cepelos,2-1,2017/11/04
AD Lufrei,ARCA (Amarante),3-2,2017/11/11
Padronelo,ADRC Estradinha,1-1,2017/11/11
Fridão,Malteses,0-0,2017/11/11
AD Vila Garcia,Freixo de Baixo,1-2,2017/11/11
UCD Moure,ACR Gatão,0-1,2017/11/11
Mancelos FC,Gondar,1-2,2017/11/11
ACR Gatão,AD Vila Garcia,2-0,2017/11/18
Malteses,AD Lufrei,1-1,2017/11/18
GD Cepelos,Mancelos FC,4-3,2017/11/18
ARCA (Amarante),Padronelo,2-0,2017/11/18
Freixo de Baixo,Fridão,2-1,2017/11/18
Gondar,UCD Moure,1-2,2017/11/18
Padronelo,Malteses,1-0,2017/11/25
ADRC Estradinha,ARCA (Amarante),0-0,2017/11/25
AD Lufrei,Freixo de Baixo,0-1,2017/11/25
Fridão,ACR Gatão,1-4,2017/11/25
AD Vila Garcia,Gondar,0-2,2017/11/25
UCD Moure,GD Cepelos,0-1,2017/11/25
Freixo de Baixo,Padronelo,1-3,2017/12/02
Malteses,ADRC Estradinha,2-3,2017/12/02
ACR Gatão,AD Lufrei,4-2,2017/12/02
Gondar,Fridão,3-0,2017/12/02
GD Cepelos,AD Vila Garcia,7-1,2017/12/02
Mancelos FC,UCD Moure,1-3,2017/12/02
Padronelo,ACR Gatão,0-1,2017/12/09
ADRC Estradinha,Freixo de Baixo,0-0,2017/12/09
Fridão,GD Cepelos,2-1,2017/12/09
AD Vila Garcia,Mancelos FC,1-5,2017/12/09
ARCA (Amarante),Malteses,3-2,2017/12/09
AD Lufrei,Gondar,3-3,2017/12/09
ACR Gatão,ADRC Estradinha,2-4,2017/12/16
Freixo de Baixo,ARCA (Amarante),1-0,2017/12/16
Gondar,Padronelo,0-3,2017/12/16
GD Cepelos,AD Lufrei,0-3,2017/12/16
Mancelos FC,Fridão,5-1,2017/12/16
UCD Moure,AD Vila Garcia,6-0,2017/12/16
ARCA (Amarante),ACR Gatão,0-0,2018/01/06
Malteses,Freixo de Baixo,0-3,2018/01/06
ADRC Estradinha,Gondar,3-2,2018/01/06
Padronelo,GD Cepelos,0-2,2018/01/06
AD Lufrei,Mancelos FC,2-3,2018/01/06
Fridão,UCD Moure,3-3,2018/01/06
Gondar,ARCA (Amarante),2-3,2018/01/14
ACR Gatão,Malteses,2-0,2018/01/14
GD Cepelos,ADRC Estradinha,4-1,2018/01/14
Mancelos FC,Padronelo,1-2,2018/01/14
AD Vila Garcia,Fridão,0-5,2018/01/14
UCD Moure,AD Lufrei,0-0,2018/01/14
Padronelo,UCD Moure,2-2,2018/01/21
ADRC Estradinha,Mancelos FC,3-0,2018/01/21
AD Lufrei,AD Vila Garcia,5-0,2018/01/21
Freixo de Baixo,ACR Gatão,1-1,2018/01/21
Malteses,Gondar,2-1,2018/01/21
ARCA (Amarante),GD Cepelos,2-4,2018/01/21
GD Cepelos,Malteses,5-1,2018/02/03
Gondar,Freixo de Baixo,0-1,2018/02/03
Mancelos FC,ARCA (Amarante),2-1,2018/02/03
UCD Moure,ADRC Estradinha,0-1,2018/02/03
AD Vila Garcia,Padronelo,1-4,2018/02/03
Fridão,AD Lufrei,3-2,2018/02/03
AD Vila Garcia,ADRC Estradinha,0-5,2018/02/17
Fridão,Padronelo,1-1,2018/02/17
UCD Moure,ARCA (Amarante),2-0,2018/02/17
Mancelos FC,Malteses,4-2,2018/02/17
GD Cepelos,Freixo de Baixo,3-2,2018/02/17
Gondar,ACR Gatão,0-0,2018/02/17
ADRC Estradinha,Fridão,5-0,2018/02/25
Padronelo,AD Lufrei,0-0,2018/02/25
ARCA (Amarante),AD Vila Garcia,7-1,2018/02/25
Malteses,UCD Moure,0-2,2018/02/25
Freixo de Baixo,Mancelos FC,1-1,2018/02/25
ACR Gatão,GD Cepelos,2-2,2018/02/25
Fridão,ARCA (Amarante),3-2,2018/03/04
AD Lufrei,ADRC Estradinha,0-2,2018/03/04
AD Vila Garcia,Malteses,0-4,2018/03/04
UCD Moure,Freixo de Baixo,0-3,2018/03/04
Mancelos FC,ACR Gatão,1-2,2018/03/04
GD Cepelos,Gondar,1-1,2018/03/04
ARCA (Amarante),AD Lufrei,2-2,2018/03/10
ADRC Estradinha,Padronelo,3-1,2018/03/10
Malteses,Fridão,1-3,2018/03/10
Freixo de Baixo,AD Vila Garcia,5-1,2018/03/10
ACR Gatão,UCD Moure,2-0,2018/03/10
Gondar,Mancelos FC,1-1,2018/03/10
AD Lufrei,Malteses,3-2,2018/03/17
Padronelo,ARCA (Amarante),2-1,2018/03/17
Fridão,Freixo de Baixo,1-1,2018/03/17
AD Vila Garcia,ACR Gatão,2-5,2018/03/17
UCD Moure,Gondar,0-2,2018/03/17
Mancelos FC,GD Cepelos,1-4,2018/03/17
Malteses,Padronelo,2-1,2018/03/25
ARCA (Amarante),ADRC Estradinha,0-5,2018/03/25
Freixo de Baixo,AD Lufrei,2-0,2018/03/25
ACR Gatão,Fridão,3-1,2018/03/25
Gondar,AD Vila Garcia,6-1,2018/03/25
GD Cepelos,UCD Moure,4-1,2018/03/25
Padronelo,Freixo de Baixo,3-1,2018/04/08
ADRC Estradinha,Malteses,2-1,2018/04/08
AD Lufrei,ACR Gatão,2-2,2018/04/08
Fridão,Gondar,3-2,2018/04/08
AD Vila Garcia,GD Cepelos,0-3,2018/04/08
UCD Moure,Mancelos FC,1-0,2018/04/08
Freixo de Baixo,ADRC Estradinha,1-1,2018/04/14
Malteses,ARCA (Amarante),2-4,2018/04/14
ACR Gatão,Padronelo,3-1,2018/04/14
Gondar,AD Lufrei,3-2,2018/04/14
GD Cepelos,Fridão,2-2,2018/04/14
Mancelos FC,AD Vila Garcia,2-1,2018/04/14
ADRC Estradinha,ACR Gatão,2-0,2018/04/21
ARCA (Amarante),Freixo de Baixo,2-0,2018/04/21
Padronelo,Gondar,1-1,2018/04/21
AD Lufrei,GD Cepelos,0-0,2018/04/21
Fridão,Mancelos FC,2-3,2018/04/21
AD Vila Garcia,UCD Moure,2-6,2018/04/21
ACR Gatão,ARCA (Amarante),1-0,2018/04/29
Freixo de Baixo,Malteses,4-1,2018/04/29
Gondar,ADRC Estradinha,2-4,2018/04/29
GD Cepelos,Padronelo,2-2,2018/04/29
Mancelos FC,AD Lufrei,1-2,2018/04/29
UCD Moure,Fridão,2-0,2018/04/29
ARCA (Amarante),Gondar,6-2,2018/05/06
Malteses,ACR Gatão,1-3,2018/05/06
ADRC Estradinha,GD Cepelos,2-0,2018/05/06
Padronelo,Mancelos FC,4-1,2018/05/06
AD Lufrei,UCD Moure,3-0,2018/05/06
Fridão,AD Vila Garcia,2-1,2018/05/06
Gondar,Malteses,1-0,2018/05/12
ACR Gatão,Freixo de Baixo,1-1,2018/05/12
GD Cepelos,ARCA (Amarante),3-3,2018/05/12
Mancelos FC,ADRC Estradinha,0-3,2018/05/12
UCD Moure,Padronelo,0-3,2018/05/12
AD Vila Garcia,AD Lufrei,0-2,2018/05/12
Malteses,GD Cepelos,1-3,2018/05/26
Freixo de Baixo,Gondar,1-3,2018/05/26
ARCA (Amarante),Mancelos FC,4-2,2018/05/26
ADRC Estradinha,UCD Moure,3-1,2018/05/26
Padronelo,AD Vila Garcia,6-0,2018/05/26
AD Lufrei,Fridão,1-2,2018/05/26
